Data,Último,Abertura,Máxima,Mínima,Variação
29.12.2000,"1,9500","1,9500","1,9500","1,9500","0,00%"
28.12.2000,"1,9500","1,9590","1,9610","1,9490","-0,46%"
27.12.2000,"1,9590","1,9610","1,9680","1,9570","-0,05%"
26.12.2000,"1,9600","1,9590","1,9620","1,9550","0,05%"
25.12.2000,"1,9590","1,9590","1,9590","1,9590","0,00%"
22.12.2000,"1,9590","1,9540","1,9630","1,9490","0,26%"
21.12.2000,"1,9540","1,9590","1,9640","1,9510","-0,31%"
20.12.2000,"1,9600","1,9540","1,9610","1,9540","0,28%"
19.12.2000,"1,9545","1,9575","1,9595","1,9495","-0,03%"
18.12.2000,"1,9550","1,9540","1,9610","1,9500","-0,53%"
15.12.2000,"1,9655","1,9635","1,9715","1,9605","0,08%"
14.12.2000,"1,9640","1,9650","1,9680","1,9610","0,49%"
13.12.2000,"1,9545","1,9665","1,9675","1,9505","-0,58%"
12.12.2000,"1,9660","1,9660","1,9720","1,9650","-0,05%"
11.12.2000,"1,9670","1,9600","1,9700","1,9600","-0,05%"
08.12.2000,"1,9680","1,9740","1,9740","1,9640","-0,30%"
07.12.2000,"1,9740","1,9750","1,9780","1,9650","-0,03%"
06.12.2000,"1,9745","1,9565","1,9755","1,9565","0,89%"
05.12.2000,"1,9570","1,9790","1,9790","1,9550","-1,11%"
04.12.2000,"1,9790","1,9750","1,9880","1,9750","0,38%"
01.12.2000,"1,9715","1,9795","1,9895","1,9705","-0,40%"
30.11.2000,"1,9795","1,9575","1,9845","1,9515","1,18%"
29.11.2000,"1,9565","1,9665","1,9695","1,9525","-0,53%"
28.11.2000,"1,9670","1,9700","1,9830","1,9660","-0,13%"
27.11.2000,"1,9695","1,9565","1,9715","1,9515","0,56%"
24.11.2000,"1,9585","1,9525","1,9605","1,9495","0,31%"
23.11.2000,"1,9525","1,9305","1,9525","1,9305","1,14%"
22.11.2000,"1,9305","1,9195","1,9375","1,9195","0,57%"
21.11.2000,"1,9195","1,9145","1,9325","1,8925","0,16%"
20.11.2000,"1,9165","1,9685","1,9705","1,9135","-2,54%"
17.11.2000,"1,9665","1,9505","1,9715","1,9505","0,79%"
16.11.2000,"1,9510","1,9470","1,9520","1,9450","0,36%"
15.11.2000,"1,9440","1,9480","1,9480","1,9440","-0,41%"
14.11.2000,"1,9520","1,9500","1,9530","1,9390","0,10%"
13.11.2000,"1,9500","1,9510","1,9610","1,9500","-0,10%"
10.11.2000,"1,9520","1,9690","1,9690","1,9410","-0,86%"
09.11.2000,"1,9690","1,9690","1,9810","1,9600","0,03%"
08.11.2000,"1,9685","1,9525","1,9745","1,9415","0,74%"
07.11.2000,"1,9540","1,9390","1,9680","1,9390","0,77%"
06.11.2000,"1,9390","1,9390","1,9530","1,9350","-0,15%"
03.11.2000,"1,9420","1,9170","1,9490","1,9120","1,22%"
02.11.2000,"1,9185","1,9215","1,9215","1,9185","-0,10%"
01.11.2000,"1,9205","1,8995","1,9245","1,8975","1,08%"
31.10.2000,"1,9000","1,9120","1,9130","1,8990","-0,78%"
30.10.2000,"1,9150","1,9150","1,9210","1,9100","-0,05%"
27.10.2000,"1,9160","1,9360","1,9370","1,9110","-1,06%"
26.10.2000,"1,9365","1,9305","1,9455","1,9245","0,39%"
25.10.2000,"1,9290","1,9120","1,9360","1,9090","1,05%"
24.10.2000,"1,9090","1,9010","1,9120","1,8920","0,42%"
23.10.2000,"1,9010","1,8870","1,9010","1,8850","0,85%"
20.10.2000,"1,8850","1,8770","1,8880","1,8760","0,43%"
19.10.2000,"1,8770","1,8720","1,8780","1,8680","0,16%"
18.10.2000,"1,8740","1,8710","1,8840","1,8710","0,16%"
17.10.2000,"1,8710","1,8660","1,8730","1,8620","0,29%"
16.10.2000,"1,8655","1,8685","1,8745","1,8645","-0,19%"
13.10.2000,"1,8690","1,8690","1,8830","1,8650","0,46%"
12.10.2000,"1,8605","1,8625","1,8625","1,8605","-0,05%"
11.10.2000,"1,8615","1,8565","1,8625","1,8555","0,13%"
10.10.2000,"1,8590","1,8540","1,8590","1,8480","0,30%"
09.10.2000,"1,8535","1,8545","1,8605","1,8515","-0,08%"
06.10.2000,"1,8550","1,8480","1,8580","1,8460","0,46%"
05.10.2000,"1,8465","1,8525","1,8525","1,8465","-0,32%"
04.10.2000,"1,8525","1,8535","1,8545","1,8455","-0,08%"
03.10.2000,"1,8540","1,8520","1,8560","1,8450","0,14%"
02.10.2000,"1,8515","1,8425","1,8515","1,8405","0,43%"
29.09.2000,"1,8435","1,8435","1,8455","1,8405","0,00%"
28.09.2000,"1,8435","1,8485","1,8495","1,8415","-0,32%"
27.09.2000,"1,8495","1,8505","1,8515","1,8445","-0,05%"
26.09.2000,"1,8505","1,8485","1,8545","1,8445","0,24%"
25.09.2000,"1,8460","1,8440","1,8490","1,8380","0,14%"
22.09.2000,"1,8435","1,8555","1,8645","1,8435","-0,65%"
21.09.2000,"1,8555","1,8545","1,8595","1,8485","0,05%"
20.09.2000,"1,8545","1,8495","1,8625","1,8495","0,24%"
19.09.2000,"1,8500","1,8580","1,8580","1,8490","-0,40%"
18.09.2000,"1,8575","1,8435","1,8615","1,8435","0,73%"
15.09.2000,"1,8440","1,8380","1,8490","1,8380","0,33%"
14.09.2000,"1,8380","1,8310","1,8390","1,8280","0,41%"
13.09.2000,"1,8305","1,8285","1,8335","1,8275","0,11%"
12.09.2000,"1,8285","1,8185","1,8295","1,8185","0,41%"
11.09.2000,"1,8210","1,8160","1,8230","1,8150","0,30%"
08.09.2000,"1,8155","1,8195","1,8235","1,8155","-0,22%"
07.09.2000,"1,8195","1,8215","1,8255","1,8195","-0,03%"
06.09.2000,"1,8200","1,8220","1,8230","1,8170","-0,03%"
05.09.2000,"1,8205","1,8255","1,8295","1,8205","-0,30%"
04.09.2000,"1,8260","1,8240","1,8280","1,8230","0,11%"
01.09.2000,"1,8240","1,8240","1,8250","1,8200","0,03%"
31.08.2000,"1,8235","1,8225","1,8265","1,8175","0,03%"
30.08.2000,"1,8230","1,8270","1,8310","1,8200","-0,19%"
29.08.2000,"1,8265","1,8315","1,8375","1,8265","-0,27%"
28.08.2000,"1,8315","1,8215","1,8315","1,8215","0,49%"
25.08.2000,"1,8225","1,8195","1,8235","1,8185","0,14%"
24.08.2000,"1,8200","1,8220","1,8230","1,8180","-0,08%"
23.08.2000,"1,8215","1,8175","1,8225","1,8145","0,19%"
22.08.2000,"1,8180","1,8230","1,8230","1,8140","-0,25%"
21.08.2000,"1,8225","1,8165","1,8225","1,8135","0,33%"
18.08.2000,"1,8165","1,8085","1,8185","1,8085","0,41%"
17.08.2000,"1,8090","1,8110","1,8150","1,8040","-0,11%"
16.08.2000,"1,8110","1,8040","1,8140","1,8040","0,42%"
15.08.2000,"1,8035","1,8035","1,8075","1,7995","-0,03%"
14.08.2000,"1,8040","1,8010","1,8060","1,7950","0,14%"
11.08.2000,"1,8015","1,7955","1,8015","1,7915","0,31%"
10.08.2000,"1,7960","1,7970","1,7980","1,7930","-0,06%"
09.08.2000,"1,7970","1,7940","1,7980","1,7930","0,20%"
08.08.2000,"1,7935","1,7975","1,8005","1,7925","-0,22%"
07.08.2000,"1,7975","1,7915","1,7975","1,7915","0,33%"
04.08.2000,"1,7915","1,7935","1,7945","1,7875","-0,11%"
03.08.2000,"1,7935","1,7925","1,8105","1,7795","-0,11%"
02.08.2000,"1,7955","1,7885","1,7965","1,7795","0,39%"
01.08.2000,"1,7885","1,7745","1,7905","1,7745","0,28%"
31.07.2000,"1,7835","1,7805","1,7855","1,7685","-0,06%"
28.07.2000,"1,7845","1,7805","1,7935","1,7705","0,28%"
27.07.2000,"1,7795","1,7865","1,7905","1,7765","-0,42%"
26.07.2000,"1,7870","1,7920","1,7940","1,7870","-0,25%"
25.07.2000,"1,7915","1,7905","1,7935","1,7855","0,03%"
24.07.2000,"1,7910","1,7950","1,7970","1,7900","-0,31%"
21.07.2000,"1,7965","1,7955","1,7965","1,7865","0,03%"
20.07.2000,"1,7960","1,8060","1,8060","1,7960","-0,39%"
19.07.2000,"1,8030","1,8030","1,8080","1,8010","0,36%"
18.07.2000,"1,7965","1,7955","1,8025","1,7945","-0,11%"
17.07.2000,"1,7985","1,8015","1,8045","1,7905","0,33%"
14.07.2000,"1,7925","1,8105","1,8135","1,7925","-1,02%"
13.07.2000,"1,8110","1,8030","1,8280","1,7930","0,47%"
12.07.2000,"1,8025","1,8025","1,8085","1,7985","0,00%"
11.07.2000,"1,8025","1,7935","1,8035","1,7925","0,47%"
10.07.2000,"1,7940","1,8060","1,8060","1,7930","-0,33%"
07.07.2000,"1,8000","1,8010","1,8020","1,7940","-0,06%"
06.07.2000,"1,8010","1,8030","1,8030","1,7940","-0,11%"
05.07.2000,"1,8030","1,8090","1,8100","1,8020","-0,33%"
04.07.2000,"1,8090","1,8140","1,8190","1,8070","-0,28%"
03.07.2000,"1,8140","1,8030","1,8160","1,8010","0,39%"
30.06.2000,"1,8070","1,8130","1,8130","1,7960","-0,30%"
29.06.2000,"1,8125","1,8195","1,8235","1,8085","-0,41%"
28.06.2000,"1,8200","1,8230","1,8230","1,8170","-0,14%"
27.06.2000,"1,8225","1,8215","1,8275","1,8195","0,03%"
26.06.2000,"1,8220","1,8250","1,8300","1,8220","-0,19%"
23.06.2000,"1,8255","1,8115","1,8265","1,8115","0,72%"
22.06.2000,"1,8125","1,8115","1,8125","1,8115","0,08%"
21.06.2000,"1,8110","1,8010","1,8140","1,8010","0,58%"
20.06.2000,"1,8005","1,8005","1,8035","1,7965","-0,14%"
19.06.2000,"1,8030","1,8030","1,8050","1,8010","0,00%"
16.06.2000,"1,8030","1,8080","1,8110","1,8020","-0,44%"
15.06.2000,"1,8110","1,8100","1,8120","1,8060","0,06%"
14.06.2000,"1,8100","1,8120","1,8140","1,8050","-0,08%"
13.06.2000,"1,8115","1,8055","1,8135","1,8055","0,30%"
12.06.2000,"1,8060","1,7960","1,8070","1,7960","0,22%"
09.06.2000,"1,8020","1,8030","1,8070","1,7970","-0,03%"
08.06.2000,"1,8025","1,7945","1,8035","1,7855","0,42%"
07.06.2000,"1,7950","1,8030","1,8070","1,7950","-0,42%"
06.06.2000,"1,8025","1,7905","1,8025","1,7835","0,64%"
05.06.2000,"1,7910","1,7970","1,7990","1,7900","-0,56%"
02.06.2000,"1,8010","1,8200","1,8200","1,8010","-1,04%"
01.06.2000,"1,8200","1,8240","1,8250","1,8150","-0,22%"
31.05.2000,"1,8240","1,8310","1,8310","1,8210","-0,38%"
30.05.2000,"1,8310","1,8370","1,8370","1,8290","-0,33%"
29.05.2000,"1,8370","1,8370","1,8410","1,8340","0,03%"
26.05.2000,"1,8365","1,8475","1,8505","1,8365","-0,57%"
25.05.2000,"1,8470","1,8410","1,8480","1,8350","0,35%"
24.05.2000,"1,8405","1,8545","1,8555","1,8405","-0,78%"
23.05.2000,"1,8550","1,8530","1,8580","1,8470","0,22%"
22.05.2000,"1,8510","1,8400","1,8600","1,8360","0,63%"
19.05.2000,"1,8395","1,8345","1,8465","1,8345","0,27%"
18.05.2000,"1,8345","1,8295","1,8355","1,8255","0,27%"
17.05.2000,"1,8295","1,8175","1,8325","1,8175","0,66%"
16.05.2000,"1,8175","1,8235","1,8255","1,8155","-0,33%"
15.05.2000,"1,8235","1,8355","1,8455","1,8225","-0,71%"
12.05.2000,"1,8365","1,8255","1,8375","1,8225","0,60%"
11.05.2000,"1,8255","1,8195","1,8255","1,8135","0,33%"
10.05.2000,"1,8195","1,8105","1,8195","1,8105","0,47%"
09.05.2000,"1,8110","1,8070","1,8110","1,8040","0,25%"
08.05.2000,"1,8065","1,8035","1,8085","1,8025","0,39%"
05.05.2000,"1,7995","1,8105","1,8205","1,7995","-0,64%"
04.05.2000,"1,8110","1,8160","1,8180","1,8090","-0,25%"
03.05.2000,"1,8155","1,8025","1,8205","1,8025","0,69%"
02.05.2000,"1,8030","1,7990","1,8040","1,7960","-0,14%"
