Data,Último,Abertura,Máxima,Mínima,Variação
30.12.1981,"1,0983","1,0983","1,0983","1,0983","0,32%"
29.12.1981,"1,0948","1,0948","1,0948","1,0948","0,30%"
24.12.1981,"1,0915","1,0915","1,0915","1,0915","-0,01%"
23.12.1981,"1,0916","1,0916","1,0916","1,0916","-0,27%"
22.12.1981,"1,0946","1,0946","1,0946","1,0946","0,16%"
21.12.1981,"1,0928","1,0928","1,0928","1,0928","0,56%"
18.12.1981,"1,0867","1,0867","1,0867","1,0867","-0,74%"
17.12.1981,"1,0948","1,0948","1,0948","1,0948","-0,17%"
16.12.1981,"1,0967","1,0967","1,0967","1,0967","-0,22%"
15.12.1981,"1,0991","1,0991","1,0991","1,0991","1,52%"
14.12.1981,"1,0826","1,0826","1,0826","1,0826","-1,43%"
11.12.1981,"1,0983","1,0983","1,0983","1,0983","-0,32%"
10.12.1981,"1,1018","1,1018","1,1018","1,1018","-0,54%"
09.12.1981,"1,1078","1,1078","1,1078","1,1078","0,16%"
08.12.1981,"1,1060","1,1060","1,1060","1,1060","-0,76%"
07.12.1981,"1,1145","1,1145","1,1145","1,1145","-0,41%"
04.12.1981,"1,1191","1,1191","1,1191","1,1191","0,57%"
03.12.1981,"1,1128","1,1128","1,1128","1,1128","-0,41%"
02.12.1981,"1,1174","1,1174","1,1174","1,1174","0,02%"
01.12.1981,"1,1172","1,1172","1,1172","1,1172","-0,90%"
30.11.1981,"1,1274","1,1274","1,1274","1,1274","0,53%"
27.11.1981,"1,1215","1,1215","1,1215","1,1215","0,33%"
26.11.1981,"1,1178","1,1178","1,1178","1,1178","-0,01%"
25.11.1981,"1,1179","1,1179","1,1179","1,1179","0,34%"
24.11.1981,"1,1141","1,1141","1,1141","1,1141","0,46%"
23.11.1981,"1,1090","1,1090","1,1090","1,1090","0,10%"
20.11.1981,"1,1079","1,1079","1,1079","1,1079","-0,44%"
19.11.1981,"1,1128","1,1128","1,1128","1,1128","0,20%"
18.11.1981,"1,1106","1,1106","1,1106","1,1106","0,24%"
17.11.1981,"1,1079","1,1079","1,1079","1,1079","-0,57%"
